pet_id,pet_type,Appointment_id,scheduled_day,Appointment_day,Age_of_owner,SMS_Recived,chronic_disease,vaccination_due,severity_level,previous_visits,emergency_case,mobility_issue,No-Show
2319,Dog,50029,2024-02-20,2024-02-25,58,1,0,1,2,4,0,0,No
3156,Dog,50030,2024-02-08,2024-02-09,42,1,1,0,1,1,1,0,No
3748,Cat,50031,2024-01-24,2024-02-04,39,1,0,1,1,9,0,0,No
8228,Dog,50032,2024-01-03,2024-01-11,35,0,1,1,1,3,0,0,No
4969,Cat,50033,2024-01-04,2024-01-10,23,1,0,0,2,9,0,0,No
3624,Dog,50034,2024-03-26,2024-04-06,32,1,1,1,1,7,0,0,No
2435,Cat,50035,2024-03-27,2024-04-02,46,1,0,0,2,5,0,0,Yes
8664,Cat,50036,2024-01-04,2024-01-05,27,0,0,1,1,1,0,0,No
9348,Cat,50037,2024-03-10,2024-03-14,19,0,1,1,2,6,0,0,Yes
4777,Dog,50038,2024-02-16,2024-02-21,20,1,0,1,2,4,0,0,Yes
4865,Cat,50039,2024-03-03,2024-03-16,42,1,0,1,3,0,0,0,No
2299,Dog,50040,2024-03-01,2024-03-08,43,1,0,1,1,9,0,0,No
2642,Cat,50041,2024-03-21,2024-03-24,37,0,1,1,2,3,0,0,No
9879,Cat,50042,2024-03-03,2024-03-14,42,1,0,0,2,7,0,0,No
2894,Dog,50043,2024-01-30,2024-01-31,18,0,0,1,1,5,1,0,No
5992,Cat,50044,2024-02-28,2024-03-08,41,1,0,0,1,5,0,0,Yes
4601,Dog,50045,2024-02-18,2024-03-01,63,0,0,0,2,0,0,0,Yes
8257,Dog,50046,2024-01-19,2024-01-28,74,0,0,1,2,6,0,0,Yes
3473,Bird,50047,2024-03-05,2024-03-15,49,1,0,0,1,6,0,0,No
3368,Dog,50048,2024-01-30,2024-02-01,57,1,1,0,1,0,0,0,No
3749,Dog,50049,2024-01-18,2024-02-01,43,0,0,0,1,0,0,0,Yes
7210,Dog,50050,2024-03-29,2024-04-08,41,1,0,0,1,6,0,0,No
4610,Cat,50051,2024-01-31,2024-02-06,24,1,0,0,3,6,1,0,No
7250,Dog,50052,2024-03-20,2024-03-21,30,1,0,0,1,1,0,0,No
7953,Cat,50053,2024-01-11,2024-01-24,69,1,1,0,1,2,0,0,No
1439,Cat,50054,2024-03-22,2024-04-01,51,0,0,1,1,3,0,0,Yes
7086,Cat,50055,2024-03-29,2024-04-07,63,0,0,0,1,1,0,0,No
5321,Dog,50056,2024-01-25,2024-01-31,66,1,0,1,1,7,0,0,No
3995,Bird,50057,2024-03-25,2024-04-07,60,0,0,1,2,1,0,0,No
8180,Cat,50058,2024-02-23,2024-02-28,41,0,0,1,3,7,0,0,Yes
5501,Dog,50059,2024-03-29,2024-04-08,28,1,0,0,1,0,0,0,No
5367,Cat,50060,2024-02-13,2024-02-25,20,0,0,1,1,0,0,0,No
1881,Cat,50061,2024-02-09,2024-02-23,19,1,0,0,1,5,0,0,Yes
9565,Dog,50062,2024-01-09,2024-01-19,46,1,0,0,3,3,0,0,No
3851,Cat,50063,2024-03-18,2024-03-31,54,1,0,0,3,8,0,0,No
4369,Dog,50064,2024-02-21,2024-03-06,27,1,0,0,2,1,0,0,No
3934,Cat,50065,2024-03-12,2024-03-20,65,1,0,0,2,2,0,0,Yes
2437,Cat,50066,2024-01-05,2024-01-10,24,1,0,0,2,0,0,0,No
2641,Cat,50067,2024-01-17,2024-01-19,21,1,1,1,1,5,0,0,No
3582,Rabbit,50068,2024-03-18,2024-03-20,36,1,0,1,1,1,1,0,No
7523,Cat,50069,2024-01-02,2024-01-07,48,1,0,0,1,7,0,0,No
6964,Bird,50070,2024-03-22,2024-03-25,26,1,0,1,1,4,0,0,No
7746,Cat,50071,2024-03-12,2024-03-23,57,1,0,1,1,9,1,0,No
8499,Dog,50072,2024-02-19,2024-02-25,39,1,1,1,1,1,0,0,Yes
3900,Cat,50073,2024-02-27,2024-03-04,56,0,0,0,1,1,0,0,Yes
5477,Dog,50074,2024-01-22,2024-02-02,26,0,0,0,1,5,0,0,Yes
6771,Dog,50075,2024-03-08,2024-03-20,74,0,0,0,1,3,0,0,No
8342,Cat,50076,2024-02-11,2024-02-13,21,1,1,0,1,9,1,0,No
4484,Cat,50077,2024-02-18,2024-02-21,46,1,1,1,2,2,1,0,No
8801,Dog,50078,2024-03-12,2024-03-14,18,1,0,0,2,0,0,0,No
6549,Rabbit,50079,2024-02-16,2024-02-29,66,1,1,0,2,7,0,0,No
5766,Cat,50080,2024-01-09,2024-01-22,30,1,0,0,1,6,0,0,No
8215,Cat,50081,2024-02-13,2024-02-17,70,1,0,0,2,7,0,0,No
7359,Dog,50082,2024-01-18,2024-01-22,19,0,0,0,1,7,0,0,No
3752,Cat,50083,2024-02-18,2024-02-26,55,0,0,1,1,7,0,0,Yes
8116,Cat,50084,2024-03-26,2024-03-29,22,1,0,1,2,7,0,0,No
8933,Dog,50085,2024-03-19,2024-03-21,30,1,1,0,2,2,0,0,No
2932,Rabbit,50086,2024-02-01,2024-02-04,29,1,1,0,1,0,0,0,No
7473,Bird,50087,2024-01-15,2024-01-29,55,1,0,0,2,0,0,0,Yes
4127,Dog,50088,2024-01-18,2024-01-31,21,0,1,0,1,6,0,0,Yes
5368,Cat,50089,2024-01-11,2024-01-17,68,1,1,0,2,9,1,0,No
6783,Cat,50090,2024-01-04,2024-01-16,49,0,1,0,2,2,0,0,Yes
5834,Dog,50091,2024-02-15,2024-02-16,23,1,1,0,1,7,0,0,No
8532,Cat,50092,2024-02-27,2024-03-12,73,1,0,0,1,2,1,0,No
1927,Cat,50093,2024-03-27,2024-04-01,24,1,0,0,1,1,0,0,No
3077,Dog,50094,2024-03-26,2024-04-06,61,0,0,0,1,9,0,0,Yes
7855,Dog,50095,2024-03-30,2024-04-09,63,1,0,0,1,0,0,0,No
6549,Cat,50096,2024-03-06,2024-03-10,71,0,0,0,1,7,0,0,No
8081,Bird,50097,2024-02-12,2024-02-19,72,1,0,1,2,9,0,0,No
2725,Dog,50098,2024-03-29,2024-03-31,19,1,0,0,1,1,0,0,No
8654,Dog,50099,2024-01-25,2024-02-03,20,1,0,1,3,5,0,0,No
4238,Cat,50100,2024-03-12,2024-03-22,45,1,1,1,2,1,1,0,Yes
8464,Cat,50101,2024-02-29,2024-03-03,64,0,0,1,1,7,1,0,Yes
6766,Dog,50102,2024-01-12,2024-01-23,27,0,0,0,1,8,0,0,Yes
1173,Dog,50103,2024-02-13,2024-02-20,36,1,0,0,1,7,0,0,No
5312,Cat,50104,2024-03-05,2024-03-06,46,1,0,1,1,9,0,0,No
8173,Cat,50105,2024-02-26,2024-03-02,56,1,0,0,2,3,0,0,Yes
9314,Cat,50106,2024-02-13,2024-02-14,30,1,0,0,2,1,0,0,No
1546,Dog,50107,2024-02-13,2024-02-19,64,0,0,1,1,7,0,0,No
2692,Dog,50108,2024-03-01,2024-03-04,49,1,0,0,3,2,0,0,No
9934,Dog,50109,2024-01-10,2024-01-19,55,1,0,0,1,5,0,0,No
7359,Bird,50110,2024-03-29,2024-04-08,30,0,0,0,1,8,0,0,Yes
7048,Cat,50111,2024-02-28,2024-03-12,39,1,0,0,1,6,0,0,No
9090,Cat,50112,2024-01-22,2024-02-05,20,0,1,0,1,4,0,0,Yes
3140,Bird,50113,2024-02-19,2024-03-02,35,0,0,0,2,8,0,0,No
1737,Dog,50114,2024-03-12,2024-03-21,19,1,0,0,2,5,0,0,No
1327,Cat,50115,2024-03-23,2024-04-06,21,0,1,0,2,3,0,0,Yes
8183,Dog,50116,2024-01-05,2024-01-19,66,0,0,1,1,3,0,0,No
1272,Cat,50117,2024-02-14,2024-02-21,30,0,1,0,1,5,0,0,No
7780,Cat,50118,2024-01-09,2024-01-19,46,1,1,1,1,1,0,0,No
6388,Cat,50119,2024-03-27,2024-04-04,73,1,0,0,2,5,0,0,No
1888,Bird,50120,2024-02-01,2024-02-14,40,0,0,0,1,3,0,0,No
6914,Cat,50121,2024-01-22,2024-01-31,48,0,1,0,2,6,0,0,Yes
2593,Bird,50122,2024-02-23,2024-03-08,42,0,0,0,1,3,0,0,Yes
3144,Bird,50123,2024-01-07,2024-01-08,70,1,0,1,1,2,0,0,No
1174,Cat,50124,2024-03-09,2024-03-21,57,1,0,0,1,6,0,0,Yes
8287,Rabbit,50125,2024-02-07,2024-02-17,29,1,0,1,2,5,0,0,No
6294,Dog,50126,2024-02-21,2024-02-29,25,0,0,0,2,0,1,0,No
9944,Dog,50127,2024-02-07,2024-02-09,20,1,0,0,1,8,0,0,No
6739,Cat,50128,2024-02-05,2024-02-08,50,1,0,1,2,8,0,0,No
2811,Bird,50129,2024-02-25,2024-02-29,67,0,1,0,2,8,0,0,Yes
7449,Dog,50130,2024-01-20,2024-01-26,50,0,0,0,1,4,0,0,Yes
9462,Cat,50131,2024-01-12,2024-01-17,74,0,0,0,1,1,0,0,Yes
1551,Bird,50132,2024-02-18,2024-02-24,55,1,0,0,1,0,0,0,No
6115,Cat,50133,2024-03-19,2024-03-27,40,1,0,1,3,0,0,0,No
9419,Cat,50134,2024-03-07,2024-03-15,35,1,0,0,1,7,0,0,No
5635,Cat,50135,2024-02-09,2024-02-22,54,1,0,0,1,5,1,0,No
5699,Cat,50136,2024-02-23,2024-02-27,61,1,0,1,2,1,0,0,No
2663,Bird,50137,2024-01-16,2024-01-30,29,1,0,0,2,0,0,0,No
9947,Dog,50138,2024-03-03,2024-03-15,55,1,0,1,1,1,0,0,No
3397,Cat,50139,2024-02-19,2024-02-27,36,1,0,1,2,7,0,0,No
3581,Cat,50140,2024-02-01,2024-02-06,28,0,0,0,1,4,0,1,No
8794,Cat,50141,2024-01-07,2024-01-18,19,1,0,0,1,7,0,0,No
4686,Bird,50142,2024-03-07,2024-03-14,49,1,0,0,1,1,1,0,No
8040,Dog,50143,2024-02-10,2024-02-16,72,0,0,1,1,3,0,0,No
3351,Cat,50144,2024-03-08,2024-03-21,19,0,0,0,1,9,1,0,No
7237,Rabbit,50145,2024-02-16,2024-02-29,39,1,1,1,1,6,0,0,Yes
7800,Dog,50146,2024-01-22,2024-01-25,66,1,0,0,1,3,0,0,No
8559,Dog,50147,2024-03-23,2024-03-25,67,1,0,1,2,3,0,0,No
9579,Dog,50148,2024-02-13,2024-02-17,59,1,0,0,1,3,0,0,No
7020,Cat,50149,2024-03-19,2024-03-24,39,0,0,1,2,4,1,0,No
3793,Dog,50150,2024-03-12,2024-03-13,21,1,0,0,2,6,0,0,No
5289,Rabbit,50151,2024-02-07,2024-02-21,42,1,0,0,3,7,0,0,No
1332,Cat,50152,2024-03-28,2024-03-31,38,1,0,0,1,7,0,0,Yes
5632,Cat,50153,2024-02-12,2024-02-16,35,1,1,1,1,7,0,0,No
6049,Dog,50154,2024-02-14,2024-02-17,21,1,0,0,2,7,0,0,No
3284,Dog,50155,2024-02-04,2024-02-05,33,1,0,1,2,6,0,0,No
9107,Cat,50156,2024-03-04,2024-03-10,19,1,0,0,1,8,0,0,No
1478,Dog,50157,2024-03-01,2024-03-02,46,0,0,0,1,3,0,1,Yes
9135,Dog,50158,2024-02-20,2024-02-22,21,1,0,0,1,6,0,0,No
5919,Cat,50159,2024-03-24,2024-04-07,41,1,0,0,3,8,1,0,No
5893,Rabbit,50160,2024-01-21,2024-01-22,38,1,0,0,2,8,0,0,No
3223,Cat,50161,2024-02-26,2024-03-11,59,1,1,1,1,6,0,0,No
5784,Dog,50162,2024-02-25,2024-03-05,23,1,1,0,1,2,0,0,No
1114,Dog,50163,2024-01-31,2024-02-08,32,1,0,0,1,6,0,0,No
6260,Cat,50164,2024-03-12,2024-03-25,43,0,0,1,2,9,0,0,Yes
1052,Dog,50165,2024-02-14,2024-02-22,20,0,0,0,2,2,0,0,No
3226,Dog,50166,2024-03-17,2024-03-26,52,1,0,1,3,2,0,0,No
9326,Cat,50167,2024-02-04,2024-02-09,22,0,0,0,1,3,1,0,No
2885,Rabbit,50168,2024-01-12,2024-01-21,35,1,0,0,1,0,0,0,No
5832,Rabbit,50169,2024-02-15,2024-02-27,46,1,0,1,1,6,0,0,No
8578,Cat,50170,2024-01-31,2024-02-06,57,0,0,0,2,7,0,0,No
7207,Bird,50171,2024-02-16,2024-02-25,74,1,0,1,1,5,0,1,Yes
2987,Dog,50172,2024-03-23,2024-04-05,41,1,0,0,1,8,0,0,Yes
1718,Cat,50173,2024-02-22,2024-03-06,52,0,0,0,3,1,0,0,No
6671,Bird,50174,2024-01-26,2024-01-30,34,0,0,0,1,5,1,0,No
3946,Cat,50175,2024-01-12,2024-01-20,63,0,0,0,1,0,0,0,No
4137,Cat,50176,2024-03-30,2024-04-07,32,0,0,1,1,3,1,0,No
9500,Cat,50177,2024-02-13,2024-02-23,57,1,0,0,2,0,0,0,Yes
9266,Cat,50178,2024-02-20,2024-03-02,27,1,0,0,3,6,0,0,No
8187,Dog,50179,2024-02-12,2024-02-20,74,1,0,1,3,4,0,0,Yes
3011,Dog,50180,2024-01-24,2024-01-29,63,1,0,1,2,6,0,0,No
5335,Cat,50181,2024-03-13,2024-03-23,45,0,0,0,1,0,0,0,Yes
4810,Rabbit,50182,2024-02-08,2024-02-17,44,1,0,0,1,7,0,0,Yes
6514,Cat,50183,2024-02-24,2024-03-06,54,1,0,0,1,4,0,0,No
5016,Cat,50184,2024-03-23,2024-04-04,61,1,0,0,1,5,0,0,No
4506,Dog,50185,2024-03-25,2024-03-27,25,0,0,0,1,1,0,0,Yes
7246,Bird,50186,2024-02-08,2024-02-13,27,1,0,1,1,9,0,0,No
8332,Dog,50187,2024-01-23,2024-02-03,66,0,0,0,1,5,0,0,Yes
3718,Rabbit,50188,2024-03-01,2024-03-08,30,1,0,0,1,8,0,0,No
8339,Rabbit,50189,2024-01-31,2024-02-04,36,1,0,0,1,1,0,1,No
4689,Bird,50190,2024-03-18,2024-03-29,72,0,1,0,3,8,0,0,No
6486,Cat,50191,2024-02-02,2024-02-15,59,1,0,0,1,9,0,0,No
6718,Dog,50192,2024-01-14,2024-01-15,44,1,0,0,1,2,0,0,No
8459,Dog,50193,2024-02-16,2024-02-26,71,0,0,0,2,3,0,0,Yes
2036,Cat,50194,2024-03-02,2024-03-09,74,1,0,0,2,1,0,0,No
2916,Dog,50195,2024-01-27,2024-01-31,48,0,0,0,3,5,0,0,No
8661,Cat,50196,2024-03-26,2024-04-09,72,1,0,0,1,5,0,0,No
7175,Cat,50197,2024-02-28,2024-03-08,33,1,0,1,1,9,0,0,No
4991,Cat,50198,2024-03-21,2024-03-22,70,0,0,1,2,5,0,0,No
9933,Cat,50199,2024-01-05,2024-01-15,55,1,0,0,2,3,0,1,No
9013,Rabbit,50200,2024-01-15,2024-01-21,43,1,0,0,1,9,0,0,No
7085,Cat,50201,2024-02-22,2024-02-24,49,0,1,0,1,7,0,0,Yes
2960,Dog,50202,2024-03-28,2024-04-05,43,0,0,1,3,1,0,0,Yes
2514,Cat,50203,2024-03-11,2024-03-14,52,1,0,0,1,1,0,0,No
6953,Rabbit,50204,2024-03-09,2024-03-20,43,1,0,0,1,3,0,0,Yes
8859,Cat,50205,2024-02-12,2024-02-17,50,0,0,0,1,5,1,0,No
3699,Rabbit,50206,2024-01-06,2024-01-09,74,0,0,0,1,9,0,0,No
5880,Bird,50207,2024-01-08,2024-01-19,25,1,0,0,1,2,0,0,No
8704,Cat,50208,2024-02-03,2024-02-05,35,1,0,0,3,2,0,0,No
5865,Dog,50209,2024-01-13,2024-01-24,58,1,1,0,1,9,0,0,Yes
5384,Cat,50210,2024-02-23,2024-02-27,35,0,1,0,1,1,0,0,No
8638,Dog,50211,2024-03-23,2024-03-29,38,0,0,0,1,2,0,0,Yes
7592,Dog,50212,2024-01-27,2024-02-04,27,1,0,1,1,7,0,0,No
2930,Dog,50213,2024-02-13,2024-02-14,27,1,1,1,1,1,1,0,No
3206,Cat,50214,2024-03-19,2024-03-29,45,0,0,0,3,3,0,0,No
9950,Rabbit,50215,2024-03-06,2024-03-08,51,0,0,0,1,4,1,0,No
6652,Cat,50216,2024-02-18,2024-03-02,37,1,0,1,2,7,0,0,No
7899,Dog,50217,2024-01-29,2024-02-09,60,1,0,1,1,7,0,0,No
2697,Dog,50218,2024-01-18,2024-01-21,32,1,0,0,2,4,0,0,No
9840,Dog,50219,2024-02-19,2024-02-25,47,1,1,1,1,1,0,0,Yes
1340,Dog,50220,2024-02-02,2024-02-09,24,0,0,0,2,1,0,1,No
8554,Cat,50221,2024-03-05,2024-03-08,71,1,1,0,1,0,0,0,No
5406,Cat,50222,2024-03-15,2024-03-19,46,0,0,1,2,0,0,0,Yes
1443,Dog,50223,2024-03-11,2024-03-21,70,1,0,1,2,4,0,0,Yes
2929,Cat,50224,2024-01-11,2024-01-25,72,0,0,1,2,1,0,0,Yes
8392,Cat,50225,2024-03-08,2024-03-17,65,1,1,0,2,7,0,0,No
9356,Bird,50226,2024-01-26,2024-01-29,26,1,0,1,1,0,0,0,Yes
7899,Bird,50227,2024-01-27,2024-01-28,39,1,0,1,2,5,0,0,No
8426,Dog,50228,2024-03-29,2024-04-12,27,0,0,0,1,9,0,0,Yes
3139,Bird,50229,2024-03-06,2024-03-12,48,0,0,0,2,4,0,0,No
3067,Dog,50230,2024-02-22,2024-03-02,56,1,0,1,1,2,0,0,No
8260,Dog,50231,2024-01-03,2024-01-09,64,1,1,0,1,1,0,0,No
5515,Cat,50232,2024-02-12,2024-02-20,67,0,0,1,1,0,0,1,No
8603,Dog,50233,2024-01-29,2024-02-11,73,0,1,0,1,5,0,0,Yes
1493,Cat,50234,2024-02-27,2024-03-10,23,1,1,0,2,0,0,0,No
6066,Cat,50235,2024-01-07,2024-01-09,72,0,0,0,1,0,0,0,No
8764,Dog,50236,2024-01-28,2024-02-09,50,1,0,0,2,3,1,0,No
5322,Cat,50237,2024-02-17,2024-02-27,42,0,0,0,1,7,0,0,Yes
7886,Cat,50238,2024-03-18,2024-03-24,65,1,0,0,1,3,0,1,No
6291,Cat,50239,2024-02-23,2024-02-25,43,1,0,0,1,8,0,0,No
1286,Dog,50240,2024-03-21,2024-03-28,23,0,0,0,1,5,0,0,Yes
1307,Bird,50241,2024-02-19,2024-02-21,23,0,0,1,1,2,0,0,No
8352,Cat,50242,2024-01-14,2024-01-16,58,0,0,1,1,3,0,0,No
1220,Dog,50243,2024-03-13,2024-03-27,71,1,1,1,1,8,0,0,No
5606,Cat,50244,2024-01-10,2024-01-16,42,0,0,0,1,3,0,0,No
8383,Cat,50245,2024-01-07,2024-01-13,48,0,1,1,2,5,0,0,Yes
7062,Dog,50246,2024-03-13,2024-03-19,62,0,0,0,3,0,0,0,No
1231,Cat,50247,2024-03-29,2024-04-07,67,1,0,0,2,1,0,0,Yes
8637,Dog,50248,2024-02-04,2024-02-07,59,1,0,1,1,7,0,0,No
4277,Dog,50249,2024-03-18,2024-03-23,63,1,0,1,1,8,0,0,No
1848,Cat,50250,2024-02-27,2024-03-07,63,1,1,0,1,2,0,0,Yes
2032,Cat,50251,2024-03-05,2024-03-13,73,1,0,0,1,4,0,0,No
8871,Cat,50252,2024-02-24,2024-03-07,58,1,0,1,1,5,0,1,No
7286,Cat,50253,2024-01-25,2024-02-03,39,1,0,0,2,2,0,0,No
9790,Cat,50254,2024-01-04,2024-01-09,40,0,0,0,1,5,0,0,Yes
7208,Cat,50255,2024-01-03,2024-01-04,44,1,1,0,2,9,0,0,No
7856,Cat,50256,2024-03-06,2024-03-12,25,0,0,1,3,1,1,0,Yes
7441,Cat,50257,2024-02-22,2024-03-04,29,0,0,0,1,9,0,0,No
4929,Dog,50258,2024-02-05,2024-02-15,61,0,1,0,3,1,1,0,Yes
6530,Cat,50259,2024-02-29,2024-03-07,45,0,1,0,1,9,0,0,No
9519,Bird,50260,2024-03-13,2024-03-23,54,1,0,0,3,2,0,0,Yes
1635,Dog,50261,2024-01-20,2024-01-23,52,1,0,0,1,0,0,0,No
7745,Cat,50262,2024-01-14,2024-01-18,47,1,0,0,1,3,0,0,No
5064,Cat,50263,2024-02-15,2024-02-16,55,1,0,0,1,5,0,0,No
8184,Dog,50264,2024-02-06,2024-02-09,41,1,0,0,1,4,0,0,No
8231,Dog,50265,2024-02-26,2024-03-02,41,1,0,1,1,0,1,0,No
6297,Cat,50266,2024-01-01,2024-01-11,19,1,0,0,1,5,0,0,No
4978,Dog,50267,2024-03-03,2024-03-15,33,1,0,0,1,4,1,0,Yes
6479,Dog,50268,2024-01-28,2024-02-07,23,0,1,0,1,5,0,0,No
4801,Cat,50269,2024-02-10,2024-02-15,70,0,1,0,2,6,0,0,Yes
7660,Dog,50270,2024-02-03,2024-02-08,54,0,1,1,1,9,0,0,No
2912,Bird,50271,2024-03-21,2024-03-26,44,0,1,0,1,3,0,0,No
2261,Dog,50272,2024-01-31,2024-02-07,50,0,1,0,1,9,0,0,No
1215,Cat,50273,2024-02-14,2024-02-19,69,0,0,0,2,6,0,0,No
8724,Bird,50274,2024-02-10,2024-02-21,49,1,0,0,1,1,0,0,Yes
1054,Dog,50275,2024-01-04,2024-01-08,66,1,0,0,1,6,1,0,No
5239,Cat,50276,2024-01-21,2024-01-22,49,1,0,0,3,8,0,0,No
1180,Rabbit,50277,2024-01-07,2024-01-08,43,1,1,0,1,6,0,0,No
2067,Bird,50278,2024-02-16,2024-02-20,65,1,0,0,1,3,0,0,No
9954,Dog,50279,2024-03-04,2024-03-07,64,1,0,1,2,4,0,0,No
1991,Dog,50280,2024-02-07,2024-02-15,65,0,0,1,3,1,1,0,Yes
9457,Cat,50281,2024-03-09,2024-03-23,23,0,0,0,1,9,0,0,Yes
3333,Dog,50282,2024-01-26,2024-02-02,55,1,0,0,1,0,0,0,No
6217,Rabbit,50283,2024-01-19,2024-01-24,36,0,0,0,1,2,0,0,No
4419,Cat,50284,2024-01-23,2024-01-30,25,0,0,0,1,2,0,0,Yes
3919,Cat,50285,2024-03-23,2024-03-26,69,1,0,1,2,9,0,0,No
4531,Bird,50286,2024-01-10,2024-01-17,26,0,0,1,3,3,0,0,No
2564,Cat,50287,2024-02-23,2024-02-25,54,1,1,0,1,9,0,0,No
7969,Cat,50288,2024-01-09,2024-01-11,55,1,0,0,1,1,0,0,No
9340,Dog,50289,2024-02-28,2024-03-09,23,1,0,0,3,5,0,0,Yes
1930,Rabbit,50290,2024-01-02,2024-01-13,74,1,0,1,1,3,0,0,No
6516,Dog,50291,2024-03-27,2024-04-07,25,1,1,1,1,2,0,1,No
1005,Dog,50292,2024-02-01,2024-02-11,51,1,0,1,1,6,1,0,Yes
8125,Cat,50293,2024-03-16,2024-03-19,51,0,1,0,1,4,0,0,Yes
5476,Bird,50294,2024-01-01,2024-01-14,28,1,0,1,1,2,0,0,No
2913,Cat,50295,2024-03-20,2024-03-31,54,1,0,1,1,0,0,0,No
2385,Dog,50296,2024-01-02,2024-01-10,52,0,0,0,2,9,0,0,Yes
7418,Cat,50297,2024-02-27,2024-03-10,54,0,0,1,1,9,0,0,No
7276,Dog,50298,2024-01-07,2024-01-18,69,1,0,1,2,9,0,0,No
9312,Bird,50299,2024-03-22,2024-03-26,37,1,1,1,1,7,0,0,No
5952,Cat,50300,2024-01-16,2024-01-21,31,1,0,1,2,7,0,0,No
2278,Dog,50301,2024-03-16,2024-03-27,22,1,0,1,1,8,0,0,No
1150,Dog,50302,2024-01-06,2024-01-19,64,1,0,0,2,8,0,0,No
1194,Dog,50303,2024-02-22,2024-02-28,55,0,0,0,3,4,1,0,No
2431,Dog,50304,2024-02-25,2024-03-04,48,1,0,1,1,8,0,0,No
3519,Dog,50305,2024-03-28,2024-04-09,18,1,0,1,3,9,1,0,No
9192,Dog,50306,2024-01-27,2024-01-29,28,1,0,0,1,9,0,0,Yes
6305,Cat,50307,2024-02-17,2024-03-01,18,1,1,0,2,0,0,0,No
8253,Cat,50308,2024-02-28,2024-03-10,25,1,0,0,2,5,0,0,Yes
3504,Bird,50309,2024-02-14,2024-02-23,44,1,0,0,2,7,0,0,No
5127,Dog,50310,2024-03-19,2024-03-20,49,1,1,1,1,3,0,0,No
5200,Dog,50311,2024-01-15,2024-01-19,21,1,0,0,2,9,0,0,No
5149,Bird,50312,2024-03-11,2024-03-22,54,1,0,0,1,0,1,0,No
7119,Cat,50313,2024-02-09,2024-02-16,34,1,0,0,1,3,0,0,No
8500,Dog,50314,2024-03-22,2024-03-31,41,1,0,0,1,0,0,0,No
9015,Cat,50315,2024-03-01,2024-03-05,69,1,0,0,1,6,0,0,No
1947,Cat,50316,2024-01-03,2024-01-10,18,1,0,0,1,8,0,0,No
3697,Dog,50317,2024-03-28,2024-04-01,23,1,0,1,2,0,0,0,No
8616,Dog,50318,2024-01-10,2024-01-15,42,1,0,0,1,9,0,0,No
5281,Cat,50319,2024-02-21,2024-03-04,49,1,1,0,1,4,0,0,No
8039,Bird,50320,2024-02-11,2024-02-16,31,1,1,0,2,6,0,0,No
1631,Rabbit,50321,2024-01-18,2024-01-22,72,0,0,0,1,4,0,0,Yes
7087,Dog,50322,2024-02-06,2024-02-13,54,0,0,0,3,9,1,0,No
